lambda,fleet_type,mean_art,std_art,mean_events,num_runs
0.01,baseline,21.468888888888888,3.532229474670127,9.0,5
0.01,ai,19.90571428571429,1.6918351345355664,9.0,5
0.05,baseline,26.598708089296327,2.955599779885553,50.6,5
0.05,ai,23.928261665375206,1.7587231875263403,50.4,5
0.1,baseline,32.23970234680054,3.0876577773399325,93.8,5
0.1,ai,32.14052660370232,1.0158705064955773,93.2,5
0.15,baseline,68.33496911474404,31.270350201899664,126.2,5
0.15,ai,66.40781733713125,20.346867602552404,124.8,5
